Status Name,Buff/Ailment,Appearance,Duration,Description,Inflicted By,Healed By,Prevented By,
Dance,Buff,None,End of Battle,"Character becomes uncontrollable, executes Dance actions.","Enemy Special, Dance",Death,None,
Regen,Buff,None,End of Battle,Character gains HP periodically.,"Enemy Special, Regen, Kirin, Rippler","Dispel, Rippler, Revenger, Death, Seizure","Auto-Seizure, Monster Immunity",
Slow,Ailment,White glow around character,End of Battle,Character acts half as fast.,"Enemy Special, Slow, Slow 2, Reflect???, Rippler, Slimer, Entwine, Mind Blast, Evil Toot","Dispel, Remedy(spell), Unicorn, Spiraler, Harvester, Tapir, Wild Bear, Rippler, Pep Up, Seize, Death, Haste(status)","Auto-Haste, Monster Immunity",
Haste,Buff,Red glow around character,End of Battle,Character acts slightly faster.,"Enemy Special, Haste, Haste2, Kitty, Rippler","Dispel, Rippler, Revenger, Death, Slow(status)","Auto-Slow, Monster Immunity",
Stop,Ailment,Pink glow around character,Temporary,Character cannot act or dodge.,"Enemy Special, Stop, Stunner, Rippler, Clear, Net, Mind Blast","Dispel, Remedy, Unicorn, Spiraler, Harvester, Tapir, Wild Bear, Pep Up, Rippler, Time Elapse, Death",Monster Immunity,
Shell,Buff,Green glow around character,End of Battle,Character reduces approximately 1/3 of damage from magical attacks.,"Enemy Special, Shell, ZoneSeek, Big Guard, Rippler","Dispel, Rippler, Revenger, Death",Monster Immunity,
Safe,Buff,Yellow glow around character,End of Battle,Character reduces approximately 1/3 of damage from physical attacks.,"Enemy Special, Safe, Big Guard, Rippler, TekBarrier","Dispel, Rippler, Revenger, Death",Monster Immunity,
Reflect,Buff,Blue glow around character,Temporary,Character can bounce certain attacks that target it(unless the have already been reflected).,"Enemy Special, Rflect, Carbunkl, Rippler, TekBarrier","Dispel, Rippler, Revenger, Death, Time Elapse",Monster Immunity,
Rage,Buff,None,End of Battle,"Character becomes uncontrollable, executes Rage actions.","Enemy Special, Rage",Death,None,
Frozen,Ailment,Character looks completely blue,Temporary,"Character cannot take action or dodge, heals after a long time passes.","Enemy Special, N. Cross, Cold Dust","Spiraler, Wild Bear, Fire(element), Death",None,
Life 3,Buff,None,End of Battle,Character automatically revives after suffering Death status with 1/8 of maximum HP.,"Enemy Special, Life 3, Rippler","Dispel, Rippler, Revenger, Death",None,
Morph,Buff,Character looks like Esper Terra sprite,Temporary,Character deals double damage and half magical damage(if the attack does not ignore defense).,"Enemy Special, Morph","Time Elapse, Death",None,
Casting,Inconsequential,Character takes magic casting sprite,End of Battle,Nothing,"Enemy Special, Cast Spell",Execute Spell Cast,None,
Hide,Buff,Character is removed from battle,End of Battle,"Character cannot take action, counts as escaped, does not count as death, cannot be targeted.","Palidor, Escape, Sneeze, BabaBreath",None,None,
Interceptor,Buff,None,Permanent,Character can block using Interceptor.,None,None,None,
Float,Buff,Character floats above ground,End of Battle,Character dodges certain attacks guaranteed.,"Enemy Special, Float, Rippler, Disaster","Dispel, Rippler, 50 Gs, Revenger, Death",Monster Immunity,
Charm,Ailment,None,End of Battle,Character explicitly targets own party with random attack.,Charm,"Death(target), Death(caster)",None,
HP Leak,Ailment,None,End of Battle,Character loses HP periodically.,Phantasm,Death,None,
Air Anchor,Ailment,None,End of Battle,Character dies after taking an action or receiving tick damage/healing.,Air Anchor,Death,"Safety Bit, Memento Ring",
Undead,Ailment,None,Permanent,"Character takes damage from most healing sources, is fully healed by Doom, Condemned, X-Type death","Relic Ring, Enemy Trait",None,None,
Golem,Buff,None,End of Battle,Golem stands in for physical attacks.,Golem,None,None,
Love Token,Ailment,None,End of Battle,Target stands in for physical attacks directed at caster.,Love Token,"Death(target), Death(caster)",None,
Seize,Ailment,Character moves to monster position,Temporary,"Target loses HP periodically, caster gains HP periodically.",Seize,Discard,None,
Overcast,Ailment,None,End of Battle,All instances of KO against target become instances of Zombie.,Overcast,None,"Safety Bit, Memento Ring",
Zinger,Buff,Character ATB doesn't fill,End of Battle,"Caster becomes invincible if party member, caster becomes untargetable if enemy.",Zinger,Death(target),None,
Retort,Buff,None,End of Battle,"Caster counters next physical attack with Retort, cannot dodge.",Retort,"Suffer Physical Attack, Input Command",None,
Quick,Buff,None,Temporary,Caster is granted 2 more turns after casting Quick.,Quick,"Execute Commands, Death",None,
Runic,Buff,None,End of Battle,Caster can absorb certain spells as MP.,Runic,"Absorb Spell, Input Command",None,
Control,Ailment,Enemy sprite faces backwards,End of Battle,Target must execute command as inputted by caster.,Control,"Suffer Physical Attack, Death(target), Death(caster)",Monster Immunity,
Removed,Ailment,Character is removed from battle,End of Battle,"Character cannot take action, counts as dead, cannot be targeted.","Spiraler, Pep Up",None,None,
Defend,Buff,Character takes action sprite,End of Battle,Character receives half damage from physical attacks.,Defend,"Input Command, Death",None,
